config_name,n_samples,d_dim,dgp_num,n_runs,nonlinearity,interaction,sparse_k,skewness,heterogeneous,true_effect,true_theta,noise_std,bias,rmse,variance,coverage_rate,rejection_rate,mean_estimate,rho,s1,a0,a1,b0,b1
ind_skew_Dpos,100,20,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,1.0,-0.0242537582374869,0.1088705543820622,0.0112645528228151,0.9,0.1,0.975746241762513,0.7,0.2,0.0,4.0,1.0,0.25
ind_skew_Dneg,100,20,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,1.0,-0.0262100872712845,0.1077926932596612,0.010932296045403,0.91,0.09,0.9737899127287154,0.7,0.2,0.0,-4.0,1.0,0.25
ind_skew_Y,100,20,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,0.5,-0.0248115643944867,0.1058354514646952,0.0105855290590341,0.92,0.08,0.9751884356055132,0.7,1.0,1.0,0.25,4.0,0.0
0_base,100,5,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,1.0,-0.0169997602505346,0.1160186762963016,0.0131713414009703,0.91,0.09,0.9830002397494654,0.7,1.0,1.0,0.25,1.0,0.25
inter_0.25,100,5,2,100,0.0,0.25,0,0.3,0.0,1.0,1.0009142883751885,1.0,-0.0174150753406399,0.124938821764329,0.0142480075532291,0.88,0.12,0.983499213034548,0.7,1.0,1.0,0.25,1.0,0.25
inter_0.5,100,5,2,100,0.0,0.5,0,0.3,0.0,1.0,1.0021149834791194,1.0,-0.014166174352744,0.1490729668840624,0.0209990712603711,0.87,0.13,0.9879488091263754,0.7,1.0,1.0,0.25,1.0,0.25
inter_1.0,100,5,2,100,0.0,1.0,0,0.3,0.0,1.0,1.006586538349161,1.0,-0.0092207554005928,0.2224763176712648,0.0522467956777458,0.91,0.09,0.997365782948568,0.7,1.0,1.0,0.25,1.0,0.25
hete_0.15,100,5,2,100,0.0,0.0,0,0.3,0.15,1.0,1.0009193738391438,1.0,-0.0162054478973123,0.1179745996738926,0.0128832463672702,0.89,0.11,0.9847139259418314,0.7,1.0,1.0,0.25,1.0,0.25
hete_0.3,100,5,2,100,0.0,0.0,0,0.3,0.3,1.0,1.002650763836508,1.0,-0.0165604826376008,0.1287547784856575,0.0155148527266032,0.9,0.1,0.9860902811989072,0.7,1.0,1.0,0.25,1.0,0.25
hete_0.5,100,5,2,100,0.0,0.0,0,0.3,0.5,1.0,1.0041002859522106,1.0,-0.013400181411218,0.1482071097508313,0.0217361544346297,0.87,0.13,0.9907001045409924,0.7,1.0,1.0,0.25,1.0,0.25
noise_0.5,100,5,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,0.5,-0.0062738441085926,0.0618625099741192,0.003787609020399,0.93,0.07,0.9937261558914072,0.7,1.0,1.0,0.25,1.0,0.25
noise_1.0,100,5,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,1.0,-0.014965035017173,0.1127035786718278,0.0124781443723716,0.92,0.08,0.985034964982827,0.7,1.0,1.0,0.25,1.0,0.25
noise_2.0,100,5,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,2.0,-0.0186398932937829,0.2182950799640661,0.0473052963145144,0.9,0.1,0.9813601067062172,0.7,1.0,1.0,0.25,1.0,0.25
s1_0.5,100,5,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,1.0,-0.0270562743435687,0.2137128557478328,0.0449411427305395,0.94,0.06,0.9729437256564312,0.7,0.5,1.0,0.25,1.0,0.25
s1_1.0,100,5,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,1.0,-0.0121700473973834,0.1133747599148158,0.0127057261320875,0.92,0.08,0.9878299526026164,0.7,1.0,1.0,0.25,1.0,0.25
s1_2.0,100,5,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,1.0,-0.0045517805148276,0.0573744122640373,0.0032711044767885,0.94,0.06,0.9954482194851724,0.7,2.0,1.0,0.25,1.0,0.25
ind_nl_mD,100,5,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,1.0,-0.0198403910082845,0.1115726988923228,0.0120548260227553,0.93,0.07,0.9801596089917156,0.7,1.0,0.0,2.0,1.0,0.25
ind_nl_mY,100,5,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,1.0,-0.0146758527457451,0.1135556664425641,0.0126795087274001,0.9,0.1,0.9853241472542548,0.7,1.0,1.0,0.25,2.0,0.0
ind_nl_both,100,5,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,1.0,-0.0260839554454322,0.112654292731516,0.0120106169391588,0.93,0.07,0.9739160445545678,0.7,1.0,0.0,2.0,2.0,0.0
ind_skew_Dpos,100,5,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,1.0,-0.0808491873552973,0.5230958879730369,0.267092716918288,0.92,0.08,0.9191508126447026,0.7,0.2,0.0,4.0,1.0,0.25
ind_skew_Dneg,100,5,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,1.0,-0.1497543470376977,0.5189650993173291,0.2468984098527581,0.92,0.08,0.850245652962302,0.7,0.2,0.0,-4.0,1.0,0.25
ind_skew_Y,100,5,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,0.5,0.0044805734942637,0.0636452407548627,0.0040306411319069,0.92,0.08,1.004480573494264,0.7,1.0,1.0,0.25,4.0,0.0
0_base,100,5,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,1.0,0.0012685436195019,0.1120334571152243,0.0125498863102742,0.87,0.13,1.001268543619502,0.7,1.0,1.0,0.25,1.0,0.25
inter_0.25,100,5,3,100,0.0,0.25,0,0.3,0.0,1.0,1.002129515020942,1.0,-0.0005150220711978,0.1301057260912093,0.0191532839220009,0.9,0.1,1.0016144929497444,0.7,1.0,1.0,0.25,1.0,0.25
inter_0.5,100,5,3,100,0.0,0.5,0,0.3,0.0,1.0,1.0038519530347134,1.0,-0.0013422902898157,0.1582222074797173,0.0306831728621806,0.9,0.1,1.002509662744898,0.7,1.0,1.0,0.25,1.0,0.25
inter_1.0,100,5,3,100,0.0,1.0,0,0.3,0.0,1.0,1.0073862314034874,1.0,-0.0070451187602253,0.2369788120738852,0.0720973088315496,0.93,0.07,1.0003411126432622,0.7,1.0,1.0,0.25,1.0,0.25
hete_0.15,100,5,3,100,0.0,0.0,0,0.3,0.15,1.0,1.0012371925925192,1.0,-0.0037039278879518,0.1195482055624362,0.0155647848445437,0.89,0.11,0.9975332647045678,0.7,1.0,1.0,0.25,1.0,0.25
hete_0.3,100,5,3,100,0.0,0.0,0,0.3,0.3,1.0,1.002946227517955,1.0,-0.0042455092650626,0.1308957252810534,0.0200135149575742,0.88,0.12,0.9987007182528924,0.7,1.0,1.0,0.25,1.0,0.25
hete_0.5,100,5,3,100,0.0,0.0,0,0.3,0.5,1.0,1.004894275479948,1.0,-0.0040488801354141,0.1555775314218211,0.0299845813496225,0.9,0.1,1.0008453953445342,0.7,1.0,1.0,0.25,1.0,0.25
noise_0.5,100,5,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,0.5,-0.0033593625017141,0.1102051436334249,0.0121338883668458,0.88,0.12,0.9966406374982856,0.7,1.0,1.0,0.25,1.0,0.25
noise_1.0,100,5,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,1.0,-0.0011377767186344,0.1114968422044839,0.0124302512857101,0.88,0.12,0.9988622232813652,0.7,1.0,1.0,0.25,1.0,0.25
noise_2.0,100,5,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,2.0,-0.0031199484669115,0.1113173991772484,0.0123818292811506,0.88,0.12,0.9968800515330882,0.7,1.0,1.0,0.25,1.0,0.25
s1_0.5,100,5,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,1.0,-0.0024098008748252,0.1110735515404387,0.0123315267115501,0.88,0.12,0.9975901991251744,0.7,0.5,1.0,0.25,1.0,0.25
s1_1.0,100,5,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,1.0,-0.0021606734243793,0.1108089335676449,0.0122739512487519,0.88,0.12,0.9978393265756206,0.7,1.0,1.0,0.25,1.0,0.25
