config_name,n_samples,d_dim,dgp_num,n_runs,nonlinearity,interaction,sparse_k,skewness,heterogeneous,true_effect,noise_std,bias,rmse,variance,coverage_rate,rejection_rate,mean_estimate,rho,s1,a0,a1,b0,b1
hete_0.3,200,3,3,100,0.0,0.0,0,0.3,0.3,1.0,1.0,-0.0154699635760257,0.0896354194716504,0.0077951886508151,0.86,1.0,0.9845300364239744,0.7,1.0,1.0,0.25,1.0,0.25
hete_0.5,200,3,3,100,0.0,0.0,0,0.3,0.5,1.0,1.0,-0.0129866585280246,0.0874737475026869,0.0074830032024403,0.87,1.0,0.9870133414719754,0.7,1.0,1.0,0.25,1.0,0.25
noise_0.5,200,3,3,100,0.0,0.0,0,0.3,0.0,1.0,0.5,-0.014310272530518,0.0882830143366063,0.0075891067204597,0.87,1.0,0.985689727469482,0.7,1.0,1.0,0.25,1.0,0.25
noise_1.0,200,3,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0140398662211196,0.0881726892160616,0.0075773052800852,0.87,1.0,0.9859601337788804,0.7,1.0,1.0,0.25,1.0,0.25
noise_2.0,200,3,3,100,0.0,0.0,0,0.3,0.0,1.0,2.0,-0.0153354472815177,0.0884130914673665,0.0075816987994927,0.87,1.0,0.9846645527184824,0.7,1.0,1.0,0.25,1.0,0.25
rho_0.3,200,3,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.014242459134979,0.0884676121417952,0.0076236707558595,0.87,1.0,0.985757540865021,0.3,1.0,1.0,0.25,1.0,0.25
rho_0.5,200,3,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0142007803571481,0.0884485876941734,0.0076214905023419,0.87,1.0,0.985799219642852,0.5,1.0,1.0,0.25,1.0,0.25
rho_0.7,200,3,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0138366145813452,0.0887399531152536,0.0076833273758247,0.87,1.0,0.9861633854186548,0.7,1.0,1.0,0.25,1.0,0.25
s1_0.5,200,3,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0131875772265337,0.0880110888361606,0.0075720395650207,0.87,1.0,0.9868124227734664,0.7,0.5,1.0,0.25,1.0,0.25
s1_1.0,200,3,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.011646901877333,0.0867050238894579,0.0073821108443312,0.88,1.0,0.9883530981226668,0.7,1.0,1.0,0.25,1.0,0.25
s1_2.0,200,3,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0116578937122615,0.0867075155934922,0.0073822867745893,0.88,1.0,0.9883421062877384,0.7,2.0,1.0,0.25,1.0,0.25
0_基准,200,5,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0158711477830919,0.088115199438519,0.0075123950401372,0.89,1.0,0.984128852216908,0.7,1.0,1.0,0.25,1.0,0.25
inter_0.25,200,5,2,100,0.0,0.25,0,0.3,0.0,1.0,1.0,-0.0161055045323845,0.1012712761358319,0.0099964840939372,0.85,1.0,0.9838944954676154,0.7,1.0,1.0,0.25,1.0,0.25
inter_0.5,200,5,2,100,0.0,0.5,0,0.3,0.0,1.0,1.0,-0.0143376882846459,0.1248029837012113,0.0153702154353771,0.87,1.0,0.985662311715354,0.7,1.0,1.0,0.25,1.0,0.25
inter_1.0,200,5,2,100,0.0,1.0,0,0.3,0.0,1.0,1.0,-0.0016163633081689,0.1813059335969689,0.0328692289271245,0.89,1.0,0.9983836366918312,0.7,1.0,1.0,0.25,1.0,0.25
hete_0.15,200,5,2,100,0.0,0.0,0,0.3,0.15,1.0,1.0,-0.0146326361084484,0.0930609188740403,0.0084462205821984,0.83,1.0,0.9853673638915516,0.7,1.0,1.0,0.25,1.0,0.25
hete_0.3,200,5,2,100,0.0,0.0,0,0.3,0.3,1.0,1.0,-0.0177137191070605,0.1045332501676835,0.0106134245460156,0.85,1.0,0.9822862808929396,0.7,1.0,1.0,0.25,1.0,0.25
hete_0.5,200,5,2,100,0.0,0.0,0,0.3,0.5,1.0,1.0,-0.015365258580383,0.123695772189873,0.0150645528864069,0.87,1.0,0.9846347414196168,0.7,1.0,1.0,0.25,1.0,0.25
noise_0.5,200,5,2,100,0.0,0.0,0,0.3,0.0,1.0,0.5,-0.0074662535907351,0.0450936811301349,0.0019776951351851,0.88,1.0,0.9925337464092648,0.7,1.0,1.0,0.25,1.0,0.25
noise_1.0,200,5,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0163238476485705,0.0882344162974518,0.0075188442172982,0.89,1.0,0.9836761523514296,0.7,1.0,1.0,0.25,1.0,0.25
noise_2.0,200,5,2,100,0.0,0.0,0,0.3,0.0,1.0,2.0,-0.0311472182980361,0.1733526719470796,0.0290809996634862,0.86,1.0,0.968852781701964,0.7,1.0,1.0,0.25,1.0,0.25
rho_0.3,200,5,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0072851093083987,0.082456325653,0.0067459728225582,0.91,1.0,0.9927148906916012,0.3,1.0,1.0,0.25,1.0,0.25
rho_0.5,200,5,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.008060816353125,0.082606878162002,0.006758919559393,0.88,1.0,0.991939183646875,0.5,1.0,1.0,0.25,1.0,0.25
rho_0.7,200,5,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0148358984610362,0.0839595102197078,0.006829095473187,0.91,1.0,0.9851641015389636,0.7,1.0,1.0,0.25,1.0,0.25
s1_0.5,200,5,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0304743486671489,0.1666644748070986,0.026848361236039,0.88,1.0,0.9695256513328512,0.7,0.5,1.0,0.25,1.0,0.25
s1_1.0,200,5,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0157913960222111,0.0839881722446958,0.0068046448886743,0.91,1.0,0.9842086039777888,0.7,1.0,1.0,0.25,1.0,0.25
s1_2.0,200,5,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0072451000020091,0.0413487982464442,0.001657231642386,0.91,1.0,0.9927548999979908,0.7,2.0,1.0,0.25,1.0,0.25
0_基准,200,5,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0263029707080137,0.0843569677465534,0.0064242517393264,0.89,1.0,0.9736970292919862,0.7,1.0,1.0,0.25,1.0,0.25
inter_0.25,200,5,3,100,0.0,0.25,0,0.3,0.0,1.0,1.0,-0.0256722742372501,0.0849940643638989,0.006564925312582,0.89,1.0,0.9743277257627498,0.7,1.0,1.0,0.25,1.0,0.25
inter_0.5,200,5,3,100,0.0,0.5,0,0.3,0.0,1.0,1.0,-0.0258891146641885,0.0850625999801464,0.0065653996572869,0.89,1.0,0.9741108853358116,0.7,1.0,1.0,0.25,1.0,0.25
inter_1.0,200,5,3,100,0.0,1.0,0,0.3,0.0,1.0,1.0,-0.0254698323341147,0.0851313966920291,0.0065986423436077,0.89,1.0,0.9745301676658852,0.7,1.0,1.0,0.25,1.0,0.25
hete_0.15,200,5,3,100,0.0,0.0,0,0.3,0.15,1.0,1.0,-0.0261115282277094,0.084918407795893,0.0065293240762031,0.89,1.0,0.9738884717722904,0.7,1.0,1.0,0.25,1.0,0.25
hete_0.3,200,5,3,100,0.0,0.0,0,0.3,0.3,1.0,1.0,-0.0283680358229997,0.0860605684341921,0.0066016759827612,0.89,1.0,0.9716319641770004,0.7,1.0,1.0,0.25,1.0,0.25
hete_0.5,200,5,3,100,0.0,0.0,0,0.3,0.5,1.0,1.0,-0.0271127214780733,0.0847519027631116,0.0064477853560203,0.9,1.0,0.9728872785219268,0.7,1.0,1.0,0.25,1.0,0.25
noise_0.5,200,5,3,100,0.0,0.0,0,0.3,0.0,1.0,0.5,-0.0271452625857849,0.0847606510166684,0.0064475026799182,0.9,1.0,0.972854737414215,0.7,1.0,1.0,0.25,1.0,0.25
noise_1.0,200,5,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0259512059158296,0.0824766474063719,0.0061289322789092,0.91,1.0,0.9740487940841704,0.7,1.0,1.0,0.25,1.0,0.25
noise_2.0,200,5,3,100,0.0,0.0,0,0.3,0.0,1.0,2.0,-0.0277117029498721,0.0850285945235104,0.0064619234062615,0.9,1.0,0.972288297050128,0.7,1.0,1.0,0.25,1.0,0.25
