config_name,n_samples,d_dim,dgp_num,n,W,p_shapiro,A2,reject_shapiro,reject_ad,reject_both
hete_0.15,200,30,2,100,0.9794486650324968,0.12040725241839534,0.5831969355842119,False,False,False
hete_0.3,200,30,2,100,0.98280328020305,0.21839555246437847,0.6502014933187468,False,False,False
hete_0.5,200,30,2,100,0.9783114862182314,0.09810447609798673,0.8236874658785069,False,True,False
noise_0.5,200,30,2,100,0.9905495563941915,0.7089846138954357,0.26052289764183456,False,False,False
noise_1.0,200,30,2,100,0.9846650975794338,0.3003388515717055,0.4901421141157698,False,False,False
noise_2.0,200,30,2,100,0.9894937393480646,0.6237990180573743,0.18416865572135066,False,False,False
rho_0.3,200,30,2,100,0.979195088131672,0.11503904427078693,0.6144153390233384,False,False,False
rho_0.5,200,30,2,100,0.9907044506442131,0.721425533067912,0.17514080558778744,False,False,False
rho_0.7,200,30,2,100,0.9853812169300848,0.3382169683097008,0.47694940261895624,False,False,False
s1_0.5,200,30,2,100,0.9816130835463037,0.1772026320476095,0.5972682271570164,False,False,False
s1_1.0,200,30,2,100,0.9847103087577871,0.30262128964977464,0.4869053437753479,False,False,False
s1_2.0,200,30,2,100,0.9849291634967814,0.31387603639364114,0.4566840347563783,False,False,False
0_基准,200,30,3,100,0.9873088653189322,0.45872411770010957,0.5240204086441196,False,False,False
inter_0.25,200,30,3,100,0.9883329301448466,0.5330704752359138,0.4725699033890436,False,False,False
inter_0.5,200,30,3,100,0.9876269133142355,0.48111862659570603,0.48901484678565055,False,False,False
inter_1.0,200,30,3,100,0.9868369818401711,0.4267573043843195,0.5224380584779027,False,False,False
hete_0.15,200,30,3,100,0.9874205998510077,0.4665158003117164,0.492099866586571,False,False,False
hete_0.3,200,30,3,100,0.9880000421901771,0.5082102590127939,0.48572337324156933,False,False,False
hete_0.5,200,30,3,100,0.9873360366817845,0.46061121104400626,0.5166333560192413,False,False,False
noise_0.5,200,30,3,100,0.9888084194155919,0.5695756317375075,0.4535106074911255,False,False,False
noise_1.0,200,30,3,100,0.9898736565945803,0.6543821734730328,0.41845687164008893,False,False,False
noise_2.0,200,30,3,100,0.9893534818462404,0.6125818720630748,0.42632959504265955,False,False,False
rho_0.3,200,30,3,100,0.9910103934817387,0.7457974142077125,0.349448585030089,False,False,False
rho_0.5,200,30,3,100,0.9909220006440582,0.7387891231447277,0.3538619615759018,False,False,False
rho_0.7,200,30,3,100,0.9901523558360076,0.6769149277400017,0.3953055244976724,False,False,False
s1_0.5,200,30,3,100,0.9836180645788061,0.2514464902182521,0.5258277620302607,False,False,False
s1_1.0,200,30,3,100,0.9849612523526485,0.31555508989617564,0.46365524734765984,False,False,False
s1_2.0,200,30,3,100,0.9839391021606149,0.26564447697558,0.4818216164014757,False,False,False
0_基准,400,10,2,100,0.9853783745554907,0.338059275012344,0.3375335891293503,False,False,False
inter_0.25,400,10,2,100,0.9890035224656926,0.584846503160549,0.25619188902281564,False,False,False
inter_0.5,400,10,2,100,0.9845774552016252,0.29595557415198753,0.4617961251812943,False,False,False
inter_1.0,400,10,2,100,0.9796172453402555,0.12411048717887646,0.8450353457471209,False,True,False
hete_0.15,400,10,2,100,0.9880042515432873,0.5085206869854129,0.38486927285354966,False,False,False
hete_0.3,400,10,2,100,0.9882512735984187,0.5269155284746906,0.2742018115855984,False,False,False
hete_0.5,400,10,2,100,0.9841558648315485,0.27562237650198695,0.4796481596845439,False,False,False
noise_0.5,400,10,2,100,0.9930952872129842,0.8937414055044968,0.20833057485808126,False,False,False
noise_1.0,400,10,2,100,0.9883809684493958,0.5367079454573309,0.2649222933347204,False,False,False
noise_2.0,400,10,2,100,0.9891808132417966,0.5988474651231219,0.2847767883216079,False,False,False
rho_0.3,400,10,2,100,0.9833284399807516,0.239217509831763,0.45918553959536723,False,False,False
rho_0.5,400,10,2,100,0.9877732122178238,0.49163877717114285,0.33571442763778236,False,False,False
rho_0.7,400,10,2,100,0.9871454410262727,0.4474793728854615,0.3132372463827693,False,False,False
s1_0.5,400,10,2,100,0.9885435183681863,0.5491038316263809,0.38777021534374967,False,False,False
s1_1.0,400,10,2,100,0.9870564937605933,0.4414359796137736,0.30384119592118,False,False,False
s1_2.0,400,10,2,100,0.9891039111249931,0.592760868293876,0.34192844423610325,False,False,False
0_基准,400,10,3,100,0.9859236003312912,0.3693924397364955,0.44468251368896006,False,False,False
inter_0.25,400,10,3,100,0.9857464560925506,0.35897280798715114,0.4539379011486204,False,False,False
inter_0.5,400,10,3,100,0.9870354050115102,0.4400111596608786,0.42622837567827787,False,False,False
inter_1.0,400,10,3,100,0.9884810960524653,0.5443278934727946,0.41915656744534147,False,False,False
hete_0.15,400,10,3,100,0.9891718488454602,0.5981369400831595,0.386585870036555,False,False,False
hete_0.3,400,10,3,100,0.9881704845475947,0.5208616518025677,0.4245592543652066,False,False,False
hete_0.5,400,10,3,100,0.9878762402063936,0.4991271618255979,0.44215609674597545,False,False,False
noise_0.5,400,10,3,100,0.9889987388957171,0.5844703018079714,0.38701375912594926,False,False,False
noise_1.0,400,10,3,100,0.988293961591774,0.5301287202145999,0.3924443736625278,False,False,False
noise_2.0,400,10,3,100,0.9882758756804844,0.528766164669183,0.39500622483072334,False,False,False
rho_0.3,400,10,3,100,0.9882861998416927,0.5295437504452527,0.3950155203698813,False,False,False
rho_0.5,400,10,3,100,0.9892961267170762,0.6080098986825653,0.3477216474841356,False,False,False
rho_0.7,400,10,3,100,0.990433218451011,0.699609831557191,0.29975850596441944,False,False,False
s1_0.5,400,10,3,100,0.9894027742223342,0.6165183558095086,0.3416775450850622,False,False,False
s1_1.0,400,10,3,100,0.9900960773996685,0.6723629630989343,0.3013859565277244,False,False,False
s1_2.0,400,10,3,100,0.9908223411807349,0.7308533611105689,0.27774384231547344,False,False,False
0_基准,400,20,2,100,0.9902819013311008,0.6873898980020412,0.24235675994454198,False,False,False
inter_0.25,400,20,2,100,0.9823833871009395,0.20294763606451477,0.4368462872596979,False,False,False
inter_0.5,400,20,2,100,0.986463036813185,0.4025398032534374,0.4044803456029058,False,False,False
inter_1.0,400,20,2,100,0.9902624619681097,0.685818561782898,0.3650938986024528,False,False,False
hete_0.15,400,20,2,100,0.9851993484213893,0.32824580926047286,0.3782452978446287,False,False,False
hete_0.3,400,20,2,100,0.9828542056104826,0.22034036183491246,0.4649454439383902,False,False,False
hete_0.5,400,20,2,100,0.987387325394025,0.4641867488883546,0.34063327428125945,False,False,False
noise_0.5,400,20,2,100,0.9913727936211748,0.7741564558509704,0.18162697883660428,False,False,False
noise_1.0,400,20,2,100,0.9896723740608044,0.6381493361244182,0.30754015787084654,False,False,False
noise_2.0,400,20,2,100,0.9875357000780493,0.47462847327213176,0.3597496449337143,False,False,False
rho_0.3,400,20,2,100,0.9850811495058811,0.32189442242082256,0.5923440616861768,False,False,False
rho_0.5,400,20,2,100,0.9926380684514283,0.8652979108420182,0.22525126079733582,False,False,False
rho_0.7,400,20,2,100,0.98651255364363,0.40568884463588145,0.38423506520183537,False,False,False
s1_0.5,400,20,2,100,0.9894217163066393,0.618032759005942,0.3265678530710687,False,False,False
